DATA	GSM839353	GSM839354	GSM839355	GSM839356	GSM839357	GSM839358	GSM839359	GSM839360	GSM839361	GSM839362	GSM839363	GSM839364
RP11-1109M24.16	3.01160123	3.008675127	3.019603824	2.804185786	2.796866447	2.977160518	2.767398528	2.708904851	2.868985955	2.904748016	2.857776441	2.834294405
RP11-1114A5.4	3.942610341	3.991794738	3.932816112	3.982041011	4.156386003	3.764929682	4.417494045	3.854763553	4.055634616	4.319712365	4.11433238	4.267232942
RP11-111J6.2	2.814134993	2.93611706	2.719892833	2.967886812	2.672297656	2.698138908	2.50193282	2.765098408	2.622386657	2.461286579	2.694567708	2.66226988
RP11-111K18.2	3.651045287	4.023217378	3.664887976	3.600208755	3.822607156	3.744692191	3.657669688	3.711514987	3.69534236	3.847985248	3.798868818	3.716824382
RP11-111M22.3	8.220804363	8.300376386	8.258972196	8.481173445	8.660034239	8.816967129	8.720991161	8.719975505	8.492900996	8.394968921	8.536865394	8.504680055
RP11-111M22.4	5.87018143	5.608981489	5.603656064	5.650828103	5.302318223	5.46713563	5.249392392	5.371578769	5.704578842	5.713094969	5.847180198	5.758093593
RP11-112J3.16	4.274597555	4.006071938	4.363114428	4.141922929	4.073604792	4.417255107	4.149097313	4.209890465	4.485327544	4.619217786	4.683684393	4.288286459
RP11-112L7.1	2.708906308	2.860560583	2.872481311	2.830285457	2.810329141	2.721248864	2.775999109	2.987931155	2.819358544	2.821562011	2.803142283	2.781143853
RP11-1137G4.3	3.360864627	3.49239121	3.221149661	3.238707108	3.102473112	3.290096055	3.270733368	3.31008335	3.295050272	3.193307408	3.348718277	3.059728726
RP11-114H24.6	5.475238464	5.387936977	5.622598458	5.339668137	5.741690458	5.567685691	5.448049669	5.831210111	5.446267761	5.503945304	5.468628851	5.410211116
RP11-1151B14.3	5.143673917	4.870400495	4.883517156	5.108476274	5.297783749	4.98532702	5.047784951	5.135292337	4.877634091	4.82916297	4.69386827	5.050633532
RP11-1152H14.1	3.02832765	3.006368951	3.179615402	3.019937387	3.185221388	2.85094569	3.042192575	3.269646871	3.28042931	3.087247569	3.062031389	3.100849594
RP11-115A15.2	4.503930874	4.633859289	4.614152461	4.696653535	5.101724489	4.615650061	4.721487289	4.343607496	4.641309179	4.656900421	4.856626722	4.507977427
RP11-116D17.1	3.350184716	3.336830349	3.218142499	3.767663281	3.299068287	3.144069109	3.234091491	2.909065216	3.30824615	3.094324744	3.384690035	3.067994389
RP11-116O18.1	3.181385765	2.898821257	2.934691069	2.874483272	2.806664592	2.690482697	2.609265185	3.070698901	2.665803848	2.863025255	2.645971792	2.644920769
RP11-118G23.1	4.075743436	3.896193568	4.147330151	3.815331559	3.981843274	3.802316234	4.106020156	4.030145259	3.921111852	3.844268304	3.76236066	3.984721033
RP11-118G23.2	3.731465728	3.601616181	4.015873074	4.041889087	4.013289434	3.938718526	3.77392861	4.182600927	3.909090767	3.928742059	3.776195401	4.16513936
RP11-1191J2.5	5.234243122	5.167080251	5.111055335	5.16612738	5.498172315	5.188789499	5.064634046	5.48212957	5.234015738	5.475238464	5.05802968	5.085702898
RP11-119F7.5	3.778730461	3.395890204	3.336622865	3.577813397	3.190050122	3.428885236	3.231040402	3.371756312	3.231040402	3.132484761	3.192987971	3.364496819
RP11-120K24.5	5.304759196	5.220325973	5.418869738	5.295465615	5.415031484	5.029202144	5.155787341	5.329217419	5.217884671	5.203875443	5.219238861	5.161587284
RP11-1217F2.1	2.963383983	2.980543381	2.835033431	2.89680787	2.805613781	3.149679683	2.637405985	2.582849507	2.98011763	2.8431364	2.850611689	2.724162402
RP11-121C2.2	6.967613689	6.928590284	6.840238343	7.052832871	6.700229548	6.661375243	6.669228563	6.776384547	7.059661518	6.585091218	7.055515061	6.781439143
RP11-123K19.2	3.81834472	3.648541344	3.834486618	3.655916297	3.712885072	4.014969147	3.71097867	3.544161589	3.77174619	3.702556924	3.816479762	3.98174125
RP11-124L9.5	4.576615941	4.53385886	4.432123008	4.624973972	4.569794778	4.703609187	4.574482881	4.849864525	5.063375708	4.690709448	4.849952332	4.64163226
RP11-1260E13.2	2.965519996	2.942581236	3.009223366	3.07123895	3.192980242	3.020730061	2.9569981	2.865858819	3.256735124	3.133690028	2.980546845	3.051641669
RP11-1275H24.2	4.36621649	4.041280386	4.335837725	4.523225232	4.590091731	4.87185659	4.751004614	4.739028989	4.879089791	4.659933313	4.93833231	4.642673738
RP11-1277A3.1	4.848821709	4.817117006	4.815842967	5.023359794	5.177543601	4.878660421	5.264108797	5.370518399	5.277093356	5.387113092	5.108315407	5.073651232
RP11-1277A3.3	4.639897961	4.502790553	4.802622085	4.564711671	4.406936986	4.441927947	4.187368675	4.329965679	4.438766577	4.622923713	4.637638804	4.524631511
RP11-127B20.2	6.606685441	6.505173561	6.424297242	6.555585371	4.65912282	5.154336314	5.417338962	5.331649066	7.161760338	6.84879553	7.13791464	7.183888566
RP11-12M5.1	3.830725149	3.750304574	3.974287088	3.581790086	4.204063785	3.965436485	3.531652358	4.036746652	3.772623623	3.990955595	3.681691731	3.81242798
RP11-131L23.2	3.094561936	3.063973696	3.11893898	3.306424029	2.876262792	3.053924981	3.263912728	2.885127107	3.235546358	3.40067514	3.317704595	3.281560168
RP11-134G8.8	5.772593965	5.831472928	5.767857142	5.617431592	5.753744245	5.572695919	5.490625268	5.662582002	6.158185991	6.261728791	6.507978286	6.369088012
RP11-134L10.1	4.032030925	4.007455265	4.403883418	4.243276877	4.620948646	4.312657098	4.183160528	4.322362326	4.262575306	4.243906668	4.216584385	4.400568425
RP11-135A1.2	3.507091214	3.421306928	3.536339934	3.343663364	3.682636942	3.551218347	3.28402506	3.487860183	3.17871451	3.427984794	3.370782762	3.465151434
RP11-138A9.1	5.808194954	5.844771795	5.936439484	5.296542441	5.431048408	5.137816867	5.351682768	5.374209015	5.987210282	5.220731719	5.887587859	5.639689527
RP11-138I17.1	2.921021858	2.897868495	3.091909532	2.896011778	3.145461809	3.097644971	2.942018138	2.728798852	3.023714767	2.947250309	2.972295258	2.8325654
RP11-138I18.2	3.971349837	3.723550994	3.949278774	3.918299636	3.869154565	3.894759818	3.893048321	4.077733032	3.900274572	3.959789279	3.826660277	3.954793528
RP11-13K12.5	4.09665383	4.225101074	4.083604292	4.158131387	4.168025216	4.37027043	4.205897489	4.403036309	4.213996192	4.198170529	4.142209353	4.202566042
RP11-140I16.3	3.747157955	3.966083551	3.817218656	4.060189653	3.597519415	3.820159267	3.453109441	3.524749778	3.968180924	4.098948381	4.139656358	3.874171443
RP11-141M1.1	3.622043268	3.57997293	3.561546665	3.542225386	3.643748488	3.456226942	3.687559527	3.520742446	3.594517073	3.690319824	3.576488522	3.565582229
RP11-143I21.1	3.083743316	3.166671367	2.986723882	2.784316885	3.016223099	2.939655111	2.935082565	2.96810158	2.922474692	2.907519452	3.174081244	2.968195701
RP11-143K11.1	3.96927038	4.019401671	4.137879331	3.995694213	3.836733718	4.126560581	3.926062876	3.645062723	4.012911583	3.966235286	3.748607581	3.757851488
